Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Cost Model,Cost Value,Cost Currency,Event Source,Partner,Media Source,Channel,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Region,Country Code,State,City,Postal Code,DMA,IP,Operator,Carrier,Language,AppsFlyer ID,Customer User ID,Android ID,Advertising ID,IMEI,IDFA,IDFV,Device Category,Platform,OS Version,App Version,SDK Version,App ID,App Name,Is Retargeting,Retargeting Conversion Type,Is Primary Attribution,Attribution Lookback,Reengagement Window,Match Type,User Agent,HTTP Referrer,Original URL,Device Model,Rejected Reason,Rejected Reason Value,Detection Date,Fraud Reason,Fraud Sub Reason
click,2023/7/29 1:48,2023/7/29 1:52,2023/7/29 1:52,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_fc21f97583,SA,BR,RJ,Rio De Janeiro,23028-280,76008,170.233.32.156,Brasil Telecom,Brasil Telecom,en_BR,c3666e9437954d1f6e9293d1f05e49c3,c3666e9437954d1f6e9293d1f05e49c3,,03f1610d-0031-4d61-8ab3-96e2e23ad916,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; Mi 10 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_fc21f97583&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=99a1649c2243452884d3af43e8674f4b1690620505534&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=99a1649c2243452884d3af43e8674f4b1690620505534&af_ip=170.233.32.156&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=03f1610d-0031-4d61-8ab3-96e2e23ad916&af_channel=af_14183,Mi 10,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:45,2023/7/29 1:51,2023/7/29 1:51,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_79709113de,SA,BR,SP,Sao Paulo,08310-700,76009,152.249.6.30,Vivo,Vivo,en_BR,42cb4a0415ce6367fd8b618d69ccc9bc,42cb4a0415ce6367fd8b618d69ccc9bc,,096b07e3-0555-4f04-aae7-365fa051757c,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; Enjoy Max Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_79709113de&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=331969f14aae4039afbb90f17f332e011690620329932&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=331969f14aae4039afbb90f17f332e011690620329932&af_ip=152.249.6.30&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=096b07e3-0555-4f04-aae7-365fa051757c&af_channel=af_14183,Enjoy Max,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:39,2023/7/29 1:42,2023/7/29 1:42,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_9a8b5caee7,SA,BR,SP,Rio Claro,13506-822,76002,187.183.37.59,Claro,Claro,en_BR,4e88c20a670942dc56758630daebd5b3,4e88c20a670942dc56758630daebd5b3,,006cd6dd-21ca-4e46-af74-7a2f85690c89,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; P Smart Z Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_9a8b5caee7&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=af3d413f776f495c99942669e22d1ed31690619952687&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=af3d413f776f495c99942669e22d1ed31690619952687&af_ip=187.183.37.59&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=006cd6dd-21ca-4e46-af74-7a2f85690c89&af_channel=af_14183,P Smart Z,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:33,2023/7/29 1:38,2023/7/29 1:38,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_cbde2809a3,SA,BR,SP,Sao Paulo,04854-650,76009,179.111.64.115,Claro,Claro,en_BR,0619dd75067a78b3649587db9e755063,0619dd75067a78b3649587db9e755063,,144d0316-1a9e-45b4-bb46-1f0a8c7e480a,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; A9 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_cbde2809a3&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=b99b74446f53466ca6f8a6d567350a5a1690619593024&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=b99b74446f53466ca6f8a6d567350a5a1690619593024&af_ip=179.111.64.115&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=144d0316-1a9e-45b4-bb46-1f0a8c7e480a&af_channel=af_14183,A9,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:34,2023/7/29 1:37,2023/7/29 1:37,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_48ba22f21a,SA,BR,PA,Ananindeua,67143-400,76090,45.177.141.238,Vivo,Vivo,en_BR,0986641f1c5c93ac157dc04289a037da,0986641f1c5c93ac157dc04289a037da,,9e32fe70-0b51-4005-a811-aac8a5d2cb50,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; A33 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_48ba22f21a&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=02d6e577359f4b4794654dd6074bad101690619683919&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=02d6e577359f4b4794654dd6074bad101690619683919&af_ip=45.177.141.238&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=9e32fe70-0b51-4005-a811-aac8a5d2cb50&af_channel=af_14183,A33,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:24,2023/7/29 1:32,2023/7/29 1:32,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_8d9ae92a8e,SA,BR,RJ,Duque De Caxias,25213-300,76008,45.187.33.0,Claro,Claro,en_BR,b39ce124ee41dbfc3af93662ce2ec821,b39ce124ee41dbfc3af93662ce2ec821,,056c9d30-2312-43d0-a450-f470b13d052b,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; A15 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_8d9ae92a8e&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=0eccdd6be44c4810b0cc7b956143f2321690619075672&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=0eccdd6be44c4810b0cc7b956143f2321690619075672&af_ip=45.187.33.0&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=056c9d30-2312-43d0-a450-f470b13d052b&af_channel=af_14183,A15,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:24,2023/7/29 1:28,2023/7/29 1:28,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_53456d09a2,SA,BR,RJ,Marica,24936-390,76010,191.243.77.219,Brasil Telecom,Brasil Telecom,en_BR,8e8029d7a70f2969b87c0a14437b0963,8e8029d7a70f2969b87c0a14437b0963,,10810913-7a4a-4d32-b680-09cf2d6b0359,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; R17 Pro Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_53456d09a2&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=87b09561f7054ee5b7c3dad46bbce6541690619085087&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=87b09561f7054ee5b7c3dad46bbce6541690619085087&af_ip=191.243.77.219&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=10810913-7a4a-4d32-b680-09cf2d6b0359&af_channel=af_14183,R17 Pro,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:24,2023/7/29 1:27,2023/7/29 1:27,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_00ccfe891b,SA,BR,MA,Pinheiro,65200-959,76102,45.162.237.236,Claro,Claro,en_BR,5854ad8fff29c300f5cd339b2de51d99,5854ad8fff29c300f5cd339b2de51d99,,9aa3d5c9-8ef4-4957-8737-61a26bb23bf4,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; Y93 Lite Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_00ccfe891b&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=f187edf8f3d74477b0f1dabff13ce8df1690619071932&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=f187edf8f3d74477b0f1dabff13ce8df1690619071932&af_ip=45.162.237.236&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=9aa3d5c9-8ef4-4957-8737-61a26bb23bf4&af_channel=af_14183,Y93 Lite,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:13,2023/7/29 1:19,2023/7/29 1:19,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_93942efd26,SA,BR,SE,Estancia,49200-959,76112,170.83.204.14,Vivo,Vivo,en_BR,05f8b67117643c510b3c05083f5fa9d0,05f8b67117643c510b3c05083f5fa9d0,,136b57f9-6d81-402e-8a44-18f3874dd707,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; Y73 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_93942efd26&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=e58c93debed347c2a5aaa85724071e821690618426789&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=e58c93debed347c2a5aaa85724071e821690618426789&af_ip=170.83.204.14&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=136b57f9-6d81-402e-8a44-18f3874dd707&af_channel=af_14183,Y73,,,2023/7/30,bots,timestamp_anomalies
click,2023/7/29 1:14,2023/7/29 1:17,2023/7/29 1:17,install,,,,,,0,USD,S2S,mobisummer,comnexlvl3423_int,af_14183,ms_KR/JP_14183,,,,,176283811,,14183_e419722faa,SA,BR,SP,Ribeirao Preto,14060-450,76003,45.186.192.237,Vivo,Vivo,en_BR,1d404f4f8c9bd0e96cf22a98311e33c9,1d404f4f8c9bd0e96cf22a98311e33c9,,f01d5aac-a18b-494d-9d85-37fc84debcc8,,,,,android,10,,,com.alibaba.aliexpresshd,,FALSE,,,7d,,id_matching,"Mozilla/5.0 (Linux; Android 10; MediaPad M5 10 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,https://app.appsflyer.com/com.alibaba.aliexpresshd?pid=comnexlvl3423_int&af_siteid=14183_e419722faa&c=ms_KR/JP_14183&af_sub3=ms&af_ad_id=176283811&af_sub_siteid=29e427f204e247cfaf51ea83b8368f271690618451525&af_sub5=_DFdGvXd&af_click_lookback=7d&clickid=29e427f204e247cfaf51ea83b8368f271690618451525&af_ip=45.186.192.237&af_ua=Mozilla%2F5.0+%28Linux%3B+Android+10%3B+MI+6+Build%2FQQ3A.200605.001%3B+wv%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Version%2F4.0+Chrome%2F102.0.4961.0+Mobile+Safari%2F537.36&af_lang=pt-BR&af_prt=mobisummer&advertising_id=f01d5aac-a18b-494d-9d85-37fc84debcc8&af_channel=af_14183,MediaPad M5 10,,,2023/7/30,bots,timestamp_anomalies
